word,Frequency
jay,14.0
quotes,14.0
spread,14.0
yet,14.0
needed,14.0
financial,14.0
sources,14.0
estimated,14.0
kathy,14.0
april,14.0
ready,14.0
stage,14.0
distribution,14.0
follows,14.0
create,14.0
payment,14.0
responsible,14.0
buyout,14.0
garage,14.0
houston,14.0
completed,14.0
far,14.0
people,14.0
fine,14.0
cindy,14.0
dexter,14.0
improvements,14.0
include,14.0
willing,14.0
necessary,14.0
release,13.0
directly,13.0
location,13.0
claudia,13.0
got,13.0
something,13.0
spoke,13.0
single,13.0
input,13.0
fletcher,13.0
experience,13.0
rates,13.0
investor,13.0
region,13.0
7,13.0
bill,13.0
firm,13.0
scheduled,13.0
dates,13.0
several,13.0
add,13.0
andrew,13.0
client,13.0
kipp,13.0
mentioned,13.0
trying,13.0
conference,13.0
seems,13.0
calif,13.0
read,13.0
system,13.0
reach,13.0
close,13.0
christi,13.0
yesterday,13.0
architect,13.0
run,13.0
lower,13.0
eol,13.0
column,13.0
sce,13.0
capacity,13.0
application,12.0
trader,12.0
configured,12.0
tenants,12.0
cover,12.0
increase,12.0
27,12.0
looking,12.0
south,12.0
sandra,12.0
floor,12.0
brian,12.0
realize,12.0
already,12.0
porch,12.0
made,12.0
past,12.0
major,12.0
permission,12.0
executive,12.0
updating,12.0
details,12.0
wholesale,12.0
shared,12.0
return,12.0
x,12.0
materials,12.0
holst,12.0
bond,12.0
janet,12.0
edison,12.0
republicans,12.0
operating,12.0
period,12.0
large,12.0
likely,12.0
shown,12.0
process,12.0
ken,12.0
kimberly,12.0
february,12.0
cb,12.0
fill,12.0
hard,12.0
status,12.0
small,12.0
jane,12.0
tori,12.0
addition,12.0
model,12.0
plant,12.0
ray,12.0
ahead,12.0
street,12.0
tx,12.0
caps,12.0
screen,12.0
lots,12.0
reviewed,12.0
case,11.0
beginning,11.0
mean,11.0
buyers,11.0
hopefully,11.0
sign,11.0
play,11.0
maintenance,11.0
burchfield,11.0
puc,11.0
forecast,11.0
updates,11.0
job,11.0
communication,11.0
scope,11.0
flow,11.0
listed,11.0
thought,11.0
leave,11.0
stephanie,11.0
equipment,11.0
finally,11.0
overall,11.0
dj,11.0
brad,11.0
really,11.0
matthew,11.0
space,11.0
study,11.0
strong,11.0
payments,11.0
feedback,11.0
hope,11.0
curve,11.0
structure,11.0
weeks,11.0
short,11.0
expect,11.0
estimate,11.0
discussed,11.0
elizabeth,11.0
cicchetti,11.0
transportation,11.0
simply,11.0
significantly,11.0
personal,11.0
natalie,11.0
existing,11.0
proposal,11.0
money,11.0
shockmachine,11.0
assessment,11.0
attractive,11.0
utility,11.0
exterior,11.0
spec,11.0
director,11.0
final,11.0
dynegy,11.0
little,11.0
problems,11.0
qfs,11.0
held,11.0
growth,11.0
sold,11.0
exact,11.0
must,11.0
follow,11.0
cell,11.0
cap,11.0
resource,11.0
limited,10.0
consider,10.0
edward,10.0
third,10.0
double,10.0
jessica,10.0
policy,10.0
visit,10.0
delivery,10.0
expert,10.0
chairperson,10.0
pipeline,10.0
resume,10.0
range,10.0
rolling,10.0
debt,10.0
sound,10.0
attorney,10.0
draft,10.0
documents,10.0
night,10.0
statement,10.0
g,10.0
pira,10.0
none,10.0
713,10.0
asset,10.0
purchase,10.0
ipaq,10.0
approximately,10.0
steven,10.0
michelle,10.0
mailto,10.0
july,10.0
blackouts,10.0
june,10.0
december,10.0
parking,10.0
activity,10.0
95,10.0
reserves,10.0
tracy,10.0
wanted,10.0
corner,10.0
determine,10.0
moving,10.0
strategy,10.0
changes,10.0
desks,10.0
instead,10.0
grigsby,10.0
bruce,10.0
wscc,10.0
18,10.0
seattle,10.0
sincerely,10.0
within,10.0
groups,10.0
according,10.0
buy,10.0
kim,10.0
priority,10.0
orders,10.0
hit,10.0
term,10.0
customers,10.0
save,10.0
75,10.0
requirement,10.0
level,10.0
randy,10.0
sale,10.0
ted,10.0
balance,10.0
reporting,10.0
box,10.0
reduction,10.0
behind,10.0
net,10.0
changed,10.0
kathryn,9.0
others,9.0
stone,9.0
llewter,9.0
sw,9.0
tara,9.0
document,9.0
1st,9.0
laura,9.0
ena,9.0
given,9.0
rather,9.0
fair,9.0
clear,9.0
requests,9.0
andrea,9.0
worth,9.0
efforts,9.0
desktop,9.0
chance,9.0
upon,9.0
revised,9.0
labor,9.0
jess,9.0
31,9.0
interested,9.0
individual,9.0
bidweek,9.0
wish,9.0
occurs,9.0
exodus,9.0
water,9.0
applications,9.0
spent,9.0
mwa,9.0
dan,9.0
9,9.0
turn,9.0
neil,9.0
participant,9.0
audit,9.0
subs,9.0
flores,9.0
entire,9.0
repeats,9.0
28,9.0
dale,9.0
electricity,9.0
vs,9.0
difficult,9.0
companies,9.0
told,9.0
tell,9.0
joseph,9.0
cary,9.0
donald,9.0
profits,9.0
theresa,9.0
kelly,9.0
erika,9.0
severe,9.0
partner,9.0
avoid,9.0
january,9.0
barry,9.0
quality,9.0
drop,9.0
taking,9.0
supply,9.0
roll,9.0
link,9.0
spokesman,9.0
tom,9.0
simple,9.0
buckley,9.0
selection,8.0
permanent,8.0
receipt,8.0
town,8.0
hear,8.0
kingsgate,8.0
remember,8.0
var,8.0
always,8.0
material,8.0
bentley,8.0
resources,8.0
facilities,8.0
meredith,8.0
detail,8.0
person,8.0
duke,8.0
obtain,8.0
centers,8.0
suzanne,8.0
janie,8.0
cpuc,8.0
tour,8.0
comnes,8.0
laird,8.0
saturday,8.0
quite,8.0
mind,8.0
kean,8.0
trim,8.0
game,8.0
systems,8.0
insurance,8.0
overhead,8.0
style,8.0
entity,8.0
basin,8.0
books,8.0
valuation,8.0
truly,8.0
course,8.0
linda,8.0
donna,8.0
excel,8.0
guess,8.0
research,8.0
fall,8.0
includes,8.0
dimensions,8.0
finish,8.0
purchasing,8.0
analysts,8.0
bridge,8.0
seem,8.0
accept,8.0
owes,8.0
gable,8.0
guest,8.0
jennifer,8.0
weekly,8.0
slides,8.0
newswires,8.0
jason,8.0
rangel,8.0
johnnie,8.0
etc,8.0
beth,8.0
tamara,8.0
top,8.0
andy,8.0
allow,8.0
assuming,8.0
monique,8.0
gabriel,8.0
preferred,8.0
normal,8.0
13,8.0
swaps,8.0
login,8.0
focus,8.0
couple,8.0
highlights,8.0
although,8.0
columns,8.0
local,8.0
painewebber,8.0
pass,8.0
professional,8.0
whether,8.0
stagecoachmama,8.0
alternative,8.0
14,8.0
gordon,8.0
soils,8.0
package,8.0
leticia,8.0
engineering,8.0
understand,8.0
el,8.0
extension,8.0
means,8.0
agreements,8.0
page,8.0
maybe,8.0
discussions,8.0
round,8.0
never,8.0
crocker,8.0
especially,8.0
calculation,8.0
bishops,8.0
president,8.0
submitted,8.0
potentially,8.0
trip,8.0
produce,8.0
additionally,8.0
hugo,8.0
lease,8.0
outstanding,8.0
builder,8.0
estate,8.0
26,7.0
event,7.0
latest,7.0
invited,7.0
x37041,7.0
legislature,7.0
stop,7.0
happy,7.0
involved,7.0
appears,7.0
expenditures,7.0
malin,7.0
improve,7.0
reported,7.0
rebecca,7.0
title,7.0
language,7.0
sorry,7.0
otherwise,7.0
choose,7.0
rest,7.0
contacts,7.0
sitara,7.0
choice,7.0
whatever,7.0
jana,7.0
bob,7.0
employees,7.0
caiso,7.0
30,7.0
potential,7.0
together,7.0
kay,7.0
conservation,7.0
equal,7.0
regulatory,7.0
70,7.0
service,7.0
seen,7.0
goal,7.0
appraised,7.0
n,7.0
delayed,7.0
50,7.0
expected,7.0
successful,7.0
charles,7.0
speak,7.0
info,7.0
kristin,7.0
fyi,7.0
upstairs,7.0
injection,7.0
idea,7.0
base,7.0
jesse,7.0
key,7.0
appropriate,7.0
attachment,7.0
antonio,7.0
story,7.0
took,7.0
homes,7.0
emergency,7.0
jeanne,7.0
reasonable,7.0
nothing,7.0
ok,7.0
portion,7.0
pond,7.0
megawatts,7.0
video,7.0
proceed,7.0
analyst,7.0
therefore,7.0
senate,7.0
influence,7.0
online,7.0
metal,7.0
throughout,7.0
stairs,7.0
felicia,7.0
reasons,7.0
download,7.0
cabinets,7.0
ruth,7.0
mortgage,7.0
approve,7.0
solution,7.0
low,7.0
website,7.0
